genename,Test_Os1,Test_Os2,Test_Os3,Test_Ch1,Test_Ch2,Test_Ch3,Test_Ad1,Test_Ad2,Test_Ad3,Test_MSC1,Test_MSC2,Test_MSC3
AC002487.1,0,0,0,7,0,0,0,0,0,0,0,0
AC002504.1,0,0,0,3,0,2,0,0,0,0,0,0
AC002511.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002511.2,0,0,0,0,0,0,0,0,0,0,0,0
AC002519.1,0,0,0,19,0,0,0,0,1,0,0,2
AC002519.2,0,0,0,0,1,31,0,0,0,0,1,0
AC002524.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002525.1,0,0,0,25,0,0,0,3,0,0,6,1
AC002529.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002540.1,0,0,0,1,1,0,0,0,0,0,0,0
AC002542.1,0,0,0,0,0,0,0,0,0,0,2,0
AC002542.6,0,0,0,0,0,8,0,0,0,0,4,0
AC002543.1,0,0,0,2,0,0,0,0,0,0,22,1
AC002545.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002546.1,0,0,1,1,0,0,0,0,153,0,0,0
AC002550.1,0,0,0,0,0,1,0,0,0,0,3,0
AC002550.2,0,0,0,1,0,0,0,0,1,0,2,3
AC002551.1,0,0,0,1,9,0,0,0,0,0,0,1
AC002553.1,0,0,0,2,0,0,0,0,8,0,11,9
AC002553.2,0,0,0,3,0,24,0,0,2,0,2,1
AC002558.1,0,0,0,6,0,28,0,0,1,0,4,2
AC002558.2,0,0,1,11,13,0,0,0,0,0,10,4
AC002558.3,0,0,0,15,7,20,0,0,3,0,40,6
AC002563.1,0,0,0,0,0,0,0,0,0,0,0,1
AC002981.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002984.1,0,0,0,0,0,0,0,0,0,0,2,1
AC002985.1,0,0,0,0,0,0,0,0,0,0,0,0
AC002996.1,0,0,0,0,0,0,0,0,1,0,0,0
AC003001.1,0,0,0,4,0,0,0,0,0,0,0,0
AC003001.2,0,0,0,0,0,0,0,0,0,0,0,0
AC003002.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003002.2,0,0,0,0,0,0,0,0,1,0,0,0
AC003002.3,0,0,0,0,0,0,0,1,2,0,4,3
AC003005.1,0,0,0,0,0,0,0,0,1,0,0,0
AC003005.2,0,0,0,4,0,0,0,0,0,0,2,1
AC003006.1,0,0,0,0,0,0,0,0,1,0,0,2
AC003009.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003035.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003035.2,0,0,0,0,0,0,0,0,0,0,0,0
AC003043.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003043.2,0,0,0,0,0,0,0,0,0,0,0,0
AC003044.1,0,0,0,2,1,0,0,0,0,0,0,0
AC003070.1,0,0,1,0,0,8,0,0,0,0,0,0
AC003070.2,0,0,0,0,0,0,0,0,0,0,0,0
AC003071.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003072.1,0,0,0,1,0,0,0,5,18,0,16,23
AC003072.2,0,0,0,0,0,0,0,0,0,0,0,0
AC003077.1,0,0,0,4,0,6,0,0,0,0,6,2
